step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
0,0.000000000e+00,4.128243044e-16,-6.084787452e-22,4.124763888e-16,9.966914217e+03,2.752159984e-07,-3.473071770e-19
10,1.000000000e-11,4.129741482e-16,-5.720758876e-22,4.124633824e-16,9.970531931e+03,2.753159022e-07,-5.101936866e-19
20,2.000000000e-11,4.133867819e-16,-6.242085199e-22,4.124501428e-16,9.980494244e+03,2.755909779e-07,-9.360149462e-19
30,3.000000000e-11,4.140522477e-16,-6.475151285e-22,4.124379074e-16,9.996560742e+03,2.760346153e-07,-1.613692863e-18
40,4.000000000e-11,4.149685441e-16,-6.775267996e-22,4.124270210e-16,1.001868310e+04,2.766454698e-07,-2.540845605e-18
50,5.000000000e-11,4.161550086e-16,-7.298438786e-22,4.124132111e-16,1.004732819e+04,2.774364299e-07,-3.741067668e-18
60,6.000000000e-11,4.175966791e-16,-7.170790519e-22,4.123995336e-16,1.008213478e+04,2.783975475e-07,-5.196428433e-18
70,7.000000000e-11,4.192832374e-16,-6.821210385e-22,4.123855197e-16,1.012285375e+04,2.795219267e-07,-6.897035597e-18
80,8.000000000e-11,4.212506463e-16,-7.247659398e-22,4.123735138e-16,1.017035337e+04,2.808335217e-07,-8.876407775e-18
90,9.000000000e-11,4.234149754e-16,-8.332639020e-22,4.123634767e-16,1.022260728e+04,2.822763771e-07,-1.105066548e-17
100,1.000000000e-10,4.257907966e-16,-7.813964813e-22,4.123505855e-16,1.027996729e+04,2.838602683e-07,-1.343942972e-17
110,1.100000000e-10,4.284396249e-16,-8.066531689e-22,4.123384981e-16,1.034391857e+04,2.856261461e-07,-1.610032011e-17
120,1.200000000e-10,4.313403029e-16,-8.358623080e-22,4.123276226e-16,1.041395032e+04,2.875599229e-07,-1.901184444e-17
130,1.300000000e-10,4.344827593e-16,-7.962460864e-22,4.123163039e-16,1.048981938e+04,2.896549068e-07,-2.216565909e-17
140,1.400000000e-10,4.378618614e-16,-8.175702343e-22,4.123040436e-16,1.057140184e+04,2.919076350e-07,-2.555700019e-17
150,1.500000000e-10,4.414998008e-16,-7.775601076e-22,4.122913586e-16,1.065923347e+04,2.943329383e-07,-2.920766466e-17
160,1.600000000e-10,4.453796022e-16,-7.376789633e-22,4.122820396e-16,1.075290442e+04,2.969194891e-07,-3.309682484e-17
170,1.700000000e-10,4.495011425e-16,-6.999154683e-22,4.122692533e-16,1.085241174e+04,2.996671970e-07,-3.723118923e-17
180,1.800000000e-10,4.538642332e-16,-6.216615319e-22,4.122547012e-16,1.095775086e+04,3.025759499e-07,-4.160891031e-17
190,1.900000000e-10,4.584867633e-16,-5.154952223e-22,4.122416993e-16,1.106935369e+04,3.056576698e-07,-4.624454846e-17
200,2.000000000e-10,4.633430127e-16,-5.419526686e-22,4.122357229e-16,1.118659927e+04,3.088951627e-07,-5.110674785e-17
210,2.100000000e-10,4.683395534e-16,-4.316600597e-22,4.122248922e-16,1.130723192e+04,3.122262260e-07,-5.611422960e-17
