step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
220,2.200000000e-10,4.735510220e-16,-2.785414865e-22,4.122147498e-16,1.143305363e+04,3.157005886e-07,-6.133599368e-17
230,2.300000000e-10,4.789831676e-16,-1.252607804e-22,4.122021288e-16,1.156420320e+04,3.193220698e-07,-6.678091356e-17
240,2.400000000e-10,4.846793370e-16,-3.493155654e-24,4.121905719e-16,1.170172716e+04,3.231195570e-07,-7.248876162e-17
250,2.500000000e-10,4.906135032e-16,1.215305245e-22,4.121791511e-16,1.184499713e+04,3.270757102e-07,-7.843447366e-17
260,2.600000000e-10,4.967777439e-16,1.879993970e-22,4.121688299e-16,1.199382184e+04,3.311852337e-07,-8.460910202e-17
270,2.700000000e-10,5.031083200e-16,5.763729306e-22,4.121594631e-16,1.214666243e+04,3.354057385e-07,-9.094943330e-17
280,2.800000000e-10,5.096439160e-16,8.038615873e-22,4.121516997e-16,1.230445286e+04,3.397628788e-07,-9.749302014e-17
290,2.900000000e-10,5.162931632e-16,1.119292612e-21,4.121481797e-16,1.246498720e+04,3.441958144e-07,-1.041461028e-16
300,3.000000000e-10,5.230266376e-16,1.424080294e-21,4.121397548e-16,1.262755505e+04,3.486848984e-07,-1.108883069e-16
310,3.100000000e-10,5.298889795e-16,1.721823412e-21,4.121342618e-16,1.279323418e+04,3.532598916e-07,-1.177564395e-16
320,3.200000000e-10,5.369624001e-16,1.988340876e-21,4.121209715e-16,1.296400944e+04,3.579755957e-07,-1.248434170e-16
330,3.300000000e-10,5.442014579e-16,2.260807067e-21,4.121141725e-16,1.313878372e+04,3.628017246e-07,-1.320895463e-16
340,3.400000000e-10,5.515383297e-16,2.562757632e-21,4.121106753e-16,1.331591953e+04,3.676930747e-07,-1.394302171e-16
350,3.500000000e-10,5.588957752e-16,3.084188825e-21,4.121053147e-16,1.349355207e+04,3.725982112e-07,-1.467935447e-16
360,3.600000000e-10,5.664019056e-16,3.555048691e-21,4.121009665e-16,1.367477434e+04,3.776024552e-07,-1.543044941e-16
370,3.700000000e-10,5.739741812e-16,4.036886093e-21,4.120959912e-16,1.385759357e+04,3.826508026e-07,-1.618822270e-16
380,3.800000000e-10,5.816168397e-16,4.619325960e-21,4.120926251e-16,1.404211207e+04,3.877461000e-07,-1.695288339e-16
390,3.900000000e-10,5.893881368e-16,5.166624791e-21,4.120818456e-16,1.422973633e+04,3.929271474e-07,-1.773114579e-16
400,4.000000000e-10,5.972783188e-16,5.797588394e-21,4.120730593e-16,1.442023084e+04,3.981874834e-07,-1.852110571e-16
410,4.100000000e-10,6.053009707e-16,6.487358648e-21,4.120667168e-16,1.461392361e+04,4.035361442e-07,-1.932407413e-16
420,4.200000000e-10,6.133435138e-16,7.247430714e-21,4.120625689e-16,1.480809662e+04,4.088980919e-07,-2.012881923e-16
430,4.300000000e-10,6.215502785e-16,7.944686500e-21,4.120554175e-16,1.500623447e+04,4.143695028e-07,-2.095028057e-16
440,4.400000000e-10,6.297772911e-16,8.706559816e-21,4.120547300e-16,1.520486117e+04,4.198544307e-07,-2.177312677e-16
450,4.500000000e-10,6.380652379e-16,9.578776111e-21,4.120540845e-16,1.540495902e+04,4.253800189e-07,-2.260207323e-16
460,4.600000000e-10,6.463561620e-16,1.047993642e-20,4.120522095e-16,1.560512875e+04,4.309076023e-07,-2.343144324e-16
470,4.700000000e-10,6.545929440e-16,1.162932307e-20,4.120527802e-16,1.580399131e+04,4.363991326e-07,-2.425517931e-16
480,4.800000000e-10,6.627928899e-16,1.253730573e-20,4.120477827e-16,1.600196453e+04,4.418661057e-07,-2.507576445e-16
490,4.900000000e-10,6.710435998e-16,1.364846383e-20,4.120411214e-16,1.620116336e+04,4.473669487e-07,-2.590161269e-16
500,5.000000000e-10,6.793786818e-16,1.471300776e-20,4.120419407e-16,1.640239920e+04,4.529240244e-07,-2.673514541e-16
510,5.100000000e-10,6.876831932e-16,1.574370212e-20,4.120412611e-16,1.660289698e+04,4.584607103e-07,-2.756576758e-16
520,5.200000000e-10,6.959759150e-16,1.672203284e-20,4.120455549e-16,1.680311011e+04,4.639895625e-07,-2.839470821e-16
530,5.300000000e-10,7.042512000e-16,1.803000638e-20,4.120390303e-16,1.700290226e+04,4.695068093e-07,-2.922301997e-16
540,5.400000000e-10,7.125269609e-16,1.916083794e-20,4.120464010e-16,1.720270590e+04,4.750243603e-07,-3.004997208e-16
550,5.500000000e-10,7.206659042e-16,2.038555447e-20,4.120490550e-16,1.739920632e+04,4.804507307e-07,-3.086372347e-16
560,5.600000000e-10,7.286670640e-16,2.172771797e-20,4.120682253e-16,1.759238020e+04,4.857852802e-07,-3.166205664e-16
570,5.700000000e-10,7.363726449e-16,2.310331581e-20,4.120643364e-16,1.777841785e+04,4.909227969e-07,-3.243314118e-16
580,5.800000000e-10,7.439353719e-16,2.455916233e-20,4.120771666e-16,1.796100655e+04,4.959651000e-07,-3.318827645e-16
590,5.900000000e-10,7.514111712e-16,2.599708399e-20,4.120817046e-16,1.814149653e+04,5.009494447e-07,-3.393554636e-16
600,6.000000000e-10,7.588815075e-16,2.741689197e-20,4.120808487e-16,1.832185461e+04,5.059301410e-07,-3.468280757e-16
610,6.100000000e-10,7.661704203e-16,2.884667923e-20,4.120827599e-16,1.849783255e+04,5.107898920e-07,-3.541165070e-16
620,6.200000000e-10,7.733286232e-16,3.021509481e-20,4.120874808e-16,1.867065472e+04,5.155624862e-07,-3.612713575e-16
630,6.300000000e-10,7.802355984e-16,3.153640931e-20,4.121093395e-16,1.883741145e+04,5.201675772e-07,-3.681577953e-16
640,6.400000000e-10,7.869178452e-16,3.305639777e-20,4.121268978e-16,1.899874250e+04,5.246229132e-07,-3.748240039e-16
650,6.500000000e-10,7.933691795e-16,3.454966874e-20,4.121463511e-16,1.915449859e+04,5.289243010e-07,-3.812573781e-16
660,6.600000000e-10,7.996575205e-16,3.590957632e-20,4.121484681e-16,1.930631948e+04,5.331169823e-07,-3.875449620e-16
670,6.700000000e-10,8.057496277e-16,3.724024863e-20,4.121662636e-16,1.945340266e+04,5.371788304e-07,-3.936206044e-16
680,6.800000000e-10,8.115335466e-16,3.844080644e-20,4.121728011e-16,1.959304517e+04,5.410351775e-07,-3.993991863e-16
690,6.900000000e-10,8.170834109e-16,3.972855683e-20,4.121766981e-16,1.972703685e+04,5.447355156e-07,-4.049464413e-16
700,7.000000000e-10,8.224085475e-16,4.106564730e-20,4.121787439e-16,1.985560287e+04,5.482860515e-07,-4.102708693e-16
710,7.100000000e-10,8.275807016e-16,4.209846630e-20,4.121830944e-16,1.998047540e+04,5.517344997e-07,-4.154397056e-16
720,7.200000000e-10,8.326161359e-16,4.306758186e-20,4.122009346e-16,2.010204708e+04,5.550917779e-07,-4.204582688e-16
730,7.300000000e-10,8.373225638e-16,4.397550804e-20,4.122121919e-16,2.021567547e+04,5.582297015e-07,-4.251543474e-16
740,7.400000000e-10,8.416901064e-16,4.505250638e-20,4.122383898e-16,2.032112208e+04,5.611417527e-07,-4.294967691e-16
750,7.500000000e-10,8.457674956e-16,4.605903046e-20,4.122440883e-16,2.041956345e+04,5.638603408e-07,-4.335694663e-16
760,7.600000000e-10,8.493858122e-16,4.663728927e-20,4.122629158e-16,2.050692131e+04,5.662727514e-07,-4.371695337e-16
770,7.700000000e-10,8.526675771e-16,4.732129585e-20,4.122827195e-16,2.058615374e+04,5.684607687e-07,-4.404321789e-16
780,7.800000000e-10,8.556503617e-16,4.756534076e-20,4.122998411e-16,2.065816781e+04,5.704494284e-07,-4.433980859e-16
790,7.900000000e-10,8.579087019e-16,4.820480698e-20,4.123448587e-16,2.071269144e+04,5.719552003e-07,-4.456120479e-16
800,8.000000000e-10,8.595839635e-16,4.881557289e-20,4.123575608e-16,2.075313768e+04,5.730722434e-07,-4.472752182e-16
810,8.100000000e-10,8.609533998e-16,4.906688853e-20,4.123870360e-16,2.078620030e+04,5.739852850e-07,-4.486154307e-16
820,8.200000000e-10,8.618601037e-16,4.931124772e-20,4.124128184e-16,2.080809107e+04,5.745898397e-07,-4.494965966e-16
830,8.300000000e-10,8.623834471e-16,4.959215648e-20,4.124394618e-16,2.082072627e+04,5.749388269e-07,-4.499935775e-16
840,8.400000000e-10,8.623798314e-16,4.980934974e-20,4.124524658e-16,2.082063898e+04,5.749364892e-07,-4.499771750e-16
850,8.500000000e-10,8.620531132e-16,4.989962567e-20,4.124724830e-16,2.081275094e+04,5.747187099e-07,-4.496305298e-16
860,8.600000000e-10,8.611844114e-16,5.003361211e-20,4.124966085e-16,2.079177767e+04,5.741396167e-07,-4.487378365e-16
870,8.700000000e-10,8.598878233e-16,5.021890188e-20,4.125151651e-16,2.076047384e+04,5.732752862e-07,-4.474228771e-16
880,8.800000000e-10,8.582338051e-16,5.005106781e-20,4.125262432e-16,2.072054049e+04,5.721725536e-07,-4.457576130e-16
890,8.900000000e-10,8.563525991e-16,4.996781899e-20,4.125463101e-16,2.067512209e+04,5.709183852e-07,-4.438562568e-16
900,9.000000000e-10,8.541991113e-16,4.981353240e-20,4.125556374e-16,2.062312993e+04,5.694826778e-07,-4.416932875e-16
910,9.100000000e-10,8.520130691e-16,4.978247236e-20,4.125592255e-16,2.057035180e+04,5.680253033e-07,-4.395036260e-16
920,9.200000000e-10,8.496275720e-16,4.935807314e-20,4.125601502e-16,2.051275818e+04,5.664348303e-07,-4.371167798e-16
930,9.300000000e-10,8.469545079e-16,4.879796029e-20,4.125772929e-16,2.044822176e+04,5.646526028e-07,-4.344260130e-16
940,9.400000000e-10,8.442002192e-16,4.834082370e-20,4.125843680e-16,2.038172433e+04,5.628162570e-07,-4.316641921e-16
950,9.500000000e-10,8.413411573e-16,4.771779530e-20,4.125911449e-16,2.031269732e+04,5.609100095e-07,-4.287977302e-16
960,9.600000000e-10,8.384314799e-16,4.711631900e-20,4.125895798e-16,2.024244830e+04,5.589700245e-07,-4.258890164e-16
970,9.700000000e-10,8.353010939e-16,4.645653287e-20,4.126037016e-16,2.016687065e+04,5.568828802e-07,-4.227438488e-16
980,9.800000000e-10,8.317923053e-16,4.584496141e-20,4.126245182e-16,2.008215714e+04,5.545434832e-07,-4.192136320e-16
990,9.900000000e-10,8.279093835e-16,4.510768767e-20,4.126395409e-16,1.998841085e+04,5.519546238e-07,-4.153149502e-16
1000,1.000000000e-09,8.237603693e-16,4.425250890e-20,4.126542431e-16,1.988824022e+04,5.491883284e-07,-4.111503787e-16
1010,1.010000000e-09,8.193422984e-16,4.333366859e-20,4.126774572e-16,1.978157370e+04,5.462426414e-07,-4.067081749e-16
1020,1.020000000e-09,8.146703793e-16,4.235745498e-20,4.126842144e-16,1.966877846e+04,5.431277036e-07,-4.020285224e-16
1030,1.030000000e-09,8.098681657e-16,4.135540692e-20,4.126985525e-16,1.955283749e+04,5.399258940e-07,-3.972109686e-16
1040,1.040000000e-09,8.048911510e-16,4.040789306e-20,4.127076784e-16,1.943267625e+04,5.366075673e-07,-3.922238805e-16
1050,1.050000000e-09,7.998765504e-16,3.936920939e-20,4.127051949e-16,1.931160757e+04,5.332641531e-07,-3.872107247e-16
1060,1.060000000e-09,7.947387667e-16,3.821046156e-20,4.127047407e-16,1.918756485e+04,5.298385792e-07,-3.820722364e-16
1070,1.070000000e-09,7.895297012e-16,3.706507257e-20,4.127115366e-16,1.906180116e+04,5.263654879e-07,-3.768552297e-16
1080,1.080000000e-09,7.841965431e-16,3.596330975e-20,4.127157956e-16,1.893304147e+04,5.228096815e-07,-3.715167109e-16
1090,1.090000000e-09,7.787695299e-16,3.490504819e-20,4.127167937e-16,1.880201581e+04,5.191913124e-07,-3.660876413e-16
1100,1.100000000e-09,7.733118675e-16,3.376563383e-20,4.127126441e-16,1.867025019e+04,5.155524985e-07,-3.606329891e-16
1110,1.110000000e-09,7.678771698e-16,3.258259414e-20,4.127214381e-16,1.853903900e+04,5.119289729e-07,-3.551883143e-16
1120,1.120000000e-09,7.623927453e-16,3.143499505e-20,4.127314914e-16,1.840662725e+04,5.082723060e-07,-3.496926889e-16
1130,1.130000000e-09,7.565007050e-16,3.029941901e-20,4.127606285e-16,1.826437434e+04,5.043439016e-07,-3.437703759e-16
1140,1.140000000e-09,7.503953975e-16,2.917647820e-20,4.127575707e-16,1.811697246e+04,5.002733225e-07,-3.376670033e-16
1150,1.150000000e-09,7.442634510e-16,2.804314892e-20,4.127688316e-16,1.796892744e+04,4.961849808e-07,-3.315226625e-16
1160,1.160000000e-09,7.380089687e-16,2.693687232e-20,4.127767547e-16,1.781792400e+04,4.920149554e-07,-3.252591509e-16
1170,1.170000000e-09,7.317132616e-16,2.568921880e-20,4.127802443e-16,1.766592527e+04,4.878174041e-07,-3.189587065e-16
1180,1.180000000e-09,7.254406419e-16,2.465594991e-20,4.127724384e-16,1.751448394e+04,4.836353128e-07,-3.126928594e-16
1190,1.190000000e-09,7.192446866e-16,2.359770152e-20,4.127786634e-16,1.736489353e+04,4.795043277e-07,-3.064896210e-16
1200,1.200000000e-09,7.129288330e-16,2.263170218e-20,4.127783005e-16,1.721240839e+04,4.752934323e-07,-3.001731642e-16
1210,1.210000000e-09,7.065416787e-16,2.166490651e-20,4.127885850e-16,1.705820183e+04,4.710350065e-07,-2.937747586e-16
1220,1.220000000e-09,7.000667249e-16,2.069621793e-20,4.127873753e-16,1.690187549e+04,4.667180465e-07,-2.873000458e-16
1230,1.230000000e-09,6.936884877e-16,1.957045155e-20,4.127870142e-16,1.674788421e+04,4.624655166e-07,-2.809210440e-16
1240,1.240000000e-09,6.872790760e-16,1.852781266e-20,4.127981801e-16,1.659314028e+04,4.581922296e-07,-2.744994238e-16
1250,1.250000000e-09,6.807422966e-16,1.767630639e-20,4.127934418e-16,1.643532128e+04,4.538340905e-07,-2.679665311e-16
1260,1.260000000e-09,6.741993792e-16,1.692601235e-20,4.127889650e-16,1.627735409e+04,4.494718938e-07,-2.614273402e-16
1270,1.270000000e-09,6.677022229e-16,1.620064639e-20,4.127805758e-16,1.612049171e+04,4.451402127e-07,-2.549378477e-16
1280,1.280000000e-09,6.612520140e-16,1.532846821e-20,4.127775472e-16,1.596476280e+04,4.408397759e-07,-2.484897953e-16
1290,1.290000000e-09,6.549092880e-16,1.437569408e-20,4.127727995e-16,1.581162888e+04,4.366109816e-07,-2.421508642e-16
1300,1.300000000e-09,6.485848554e-16,1.340110991e-20,4.127698189e-16,1.565893662e+04,4.323943710e-07,-2.358284375e-16
1310,1.310000000e-09,6.423011136e-16,1.260118550e-20,4.127715192e-16,1.550722676e+04,4.282049440e-07,-2.295421956e-16
1320,1.320000000e-09,6.361347776e-16,1.167161463e-20,4.127632527e-16,1.535835146e+04,4.240937818e-07,-2.233831965e-16
1330,1.330000000e-09,6.300647165e-16,1.108840320e-20,4.127572396e-16,1.521180055e+04,4.200468422e-07,-2.173185653e-16
1340,1.340000000e-09,6.241074763e-16,1.043464234e-20,4.127597309e-16,1.506797350e+04,4.160751305e-07,-2.113581801e-16
1350,1.350000000e-09,6.181826833e-16,9.748484959e-21,4.127473062e-16,1.492492983e+04,4.121250394e-07,-2.054451256e-16
1360,1.360000000e-09,6.124186761e-16,9.251336460e-21,4.127434084e-16,1.478576805e+04,4.082821999e-07,-1.996845190e-16
1370,1.370000000e-09,6.066672087e-16,8.603298271e-21,4.127428533e-16,1.464690902e+04,4.044476755e-07,-1.939329587e-16
1380,1.380000000e-09,6.010028383e-16,8.002881649e-21,4.127378653e-16,1.451015279e+04,4.006712783e-07,-1.882729758e-16
1390,1.390000000e-09,5.954739812e-16,7.709593783e-21,4.127248003e-16,1.437666830e+04,3.969852239e-07,-1.827568905e-16
1400,1.400000000e-09,5.901814345e-16,7.323994058e-21,4.127154999e-16,1.424888910e+04,3.934567291e-07,-1.774732586e-16
1410,1.410000000e-09,5.850104261e-16,6.873513053e-21,4.127120468e-16,1.412404423e+04,3.900092402e-07,-1.723052528e-16
1420,1.420000000e-09,5.799685508e-16,6.407630616e-21,4.127015761e-16,1.400231705e+04,3.866478327e-07,-1.672733824e-16
1430,1.430000000e-09,5.751024134e-16,5.866122662e-21,4.127005867e-16,1.388483275e+04,3.834035648e-07,-1.624076928e-16
1440,1.440000000e-09,5.703862158e-16,5.443340766e-21,4.126947899e-16,1.377096848e+04,3.802592924e-07,-1.576968692e-16
1450,1.450000000e-09,5.658024548e-16,5.110650165e-21,4.126924518e-16,1.366030166e+04,3.772033397e-07,-1.531151136e-16
1460,1.460000000e-09,5.613684841e-16,4.759992311e-21,4.126867625e-16,1.355325126e+04,3.742472427e-07,-1.486864816e-16
1470,1.470000000e-09,5.569577278e-16,4.422737643e-21,4.126849757e-16,1.344676134e+04,3.713066255e-07,-1.442771749e-16
1480,1.480000000e-09,5.527725138e-16,4.042789778e-21,4.126701917e-16,1.334571673e+04,3.685163580e-07,-1.401063649e-16
1490,1.490000000e-09,5.487854938e-16,3.699527475e-21,4.126610437e-16,1.324945717e+04,3.658582330e-07,-1.361281496e-16
1500,1.500000000e-09,5.449358517e-16,3.470895812e-21,4.126562928e-16,1.315651436e+04,3.632917255e-07,-1.322830298e-16
1510,1.510000000e-09,5.411861042e-16,3.269027774e-21,4.126504940e-16,1.306598332e+04,3.607918257e-07,-1.285388792e-16
1520,1.520000000e-09,5.376066066e-16,3.025968812e-21,4.126432995e-16,1.297956267e+04,3.584054130e-07,-1.249663331e-16
1530,1.530000000e-09,5.342014907e-16,2.776328902e-21,4.126364637e-16,1.289735215e+04,3.561352528e-07,-1.215678033e-16
1540,1.540000000e-09,5.309281039e-16,2.619241443e-21,4.126314028e-16,1.281832201e+04,3.539529423e-07,-1.182993203e-16
1550,1.550000000e-09,5.277170406e-16,2.583857693e-21,4.126307010e-16,1.274079655e+04,3.518122212e-07,-1.150889235e-16
1560,1.560000000e-09,5.245740812e-16,2.490839464e-21,4.126228114e-16,1.266491534e+04,3.497168834e-07,-1.119537606e-16
1570,1.570000000e-09,5.215760756e-16,2.277776137e-21,4.126137629e-16,1.259253379e+04,3.477181430e-07,-1.089645905e-16
1580,1.580000000e-09,5.187152722e-16,2.118861635e-21,4.126044234e-16,1.252346474e+04,3.458108894e-07,-1.061129676e-16
1590,1.590000000e-09,5.160366394e-16,2.155007675e-21,4.125998533e-16,1.245879388e+04,3.440251433e-07,-1.034389411e-16
1600,1.600000000e-09,5.135499629e-16,1.982824652e-21,4.125913318e-16,1.239875747e+04,3.423673033e-07,-1.009606139e-16
1610,1.610000000e-09,5.112382238e-16,1.852985416e-21,4.125863498e-16,1.234294461e+04,3.408261001e-07,-9.865372700e-17
1620,1.620000000e-09,5.090590936e-16,1.782363898e-21,4.125769900e-16,1.229033335e+04,3.393733231e-07,-9.648388597e-17
1630,1.630000000e-09,5.071140187e-16,1.733652364e-21,4.125638861e-16,1.224337295e+04,3.380765901e-07,-9.455186629e-17
1640,1.640000000e-09,5.054071981e-16,1.672412843e-21,4.125532133e-16,1.220216478e+04,3.369386895e-07,-9.285565719e-17
1650,1.650000000e-09,5.038554819e-16,1.737265113e-21,4.125517228e-16,1.216470133e+04,3.359042327e-07,-9.130549637e-17
1660,1.660000000e-09,5.024658361e-16,1.790705386e-21,4.125431732e-16,1.213115079e+04,3.349778200e-07,-8.992445358e-17
1670,1.670000000e-09,5.012210369e-16,1.854686905e-21,4.125385311e-16,1.210109731e+04,3.341479751e-07,-8.868436043e-17
1680,1.680000000e-09,5.001274128e-16,1.862090785e-21,4.125287314e-16,1.207469368e+04,3.334188955e-07,-8.760054356e-17
1690,1.690000000e-09,4.992150858e-16,1.881018928e-21,4.125235714e-16,1.205266716e+04,3.328106825e-07,-8.669339541e-17
1700,1.700000000e-09,4.984121519e-16,1.931171754e-21,4.125161111e-16,1.203328174e+04,3.322754087e-07,-8.589797190e-17
1710,1.710000000e-09,4.977113184e-16,1.860509843e-21,4.125139879e-16,1.201636135e+04,3.318081647e-07,-8.519919095e-17
1720,1.720000000e-09,4.971266446e-16,1.766561126e-21,4.125062973e-16,1.200224543e+04,3.314183515e-07,-8.462211381e-17
1730,1.730000000e-09,4.967540040e-16,1.684720608e-21,4.124953563e-16,1.199324868e+04,3.311698967e-07,-8.426033242e-17
1740,1.740000000e-09,4.966084884e-16,1.541422990e-21,4.124801004e-16,1.198973547e+04,3.310728555e-07,-8.412992946e-17
1750,1.750000000e-09,4.966072959e-16,1.704947000e-21,4.124749519e-16,1.198970668e+04,3.310720986e-07,-8.413404898e-17
1760,1.760000000e-09,4.967713416e-16,1.757256979e-21,4.124758358e-16,1.199366727e+04,3.311814826e-07,-8.429726310e-17
1770,1.770000000e-09,4.969703642e-16,1.862053273e-21,4.124679434e-16,1.199847232e+04,3.313141953e-07,-8.450428280e-17
1780,1.780000000e-09,4.973206630e-16,1.860784242e-21,4.124638394e-16,1.200692966e+04,3.315477322e-07,-8.485868440e-17
1790,1.790000000e-09,4.977610370e-16,2.135770156e-21,4.124580452e-16,1.201756172e+04,3.318414013e-07,-8.530512763e-17
1800,1.800000000e-09,4.982678051e-16,2.282876346e-21,4.124518932e-16,1.202979674e+04,3.321792950e-07,-8.581819476e-17
1810,1.810000000e-09,4.990191647e-16,2.311888106e-21,4.124377147e-16,1.204793699e+04,3.326802137e-07,-8.658376188e-17
1820,1.820000000e-09,4.999786951e-16,2.472468580e-21,4.124312391e-16,1.207110316e+04,3.333199535e-07,-8.754992848e-17
1830,1.830000000e-09,5.011108715e-16,2.584141152e-21,4.124203193e-16,1.209843756e+04,3.340747742e-07,-8.869313639e-17
1840,1.840000000e-09,5.024724096e-16,2.722338833e-21,4.124077078e-16,1.213130949e+04,3.349825128e-07,-9.006742412e-17
1850,1.850000000e-09,5.039432132e-16,2.874721941e-21,4.124109597e-16,1.216681945e+04,3.359630996e-07,-9.153512831e-17
1860,1.860000000e-09,5.054660414e-16,2.988284546e-21,4.123979061e-16,1.220358545e+04,3.369783591e-07,-9.307112359e-17
1870,1.870000000e-09,5.071386897e-16,3.103501156e-21,4.123974786e-16,1.224396859e+04,3.380934950e-07,-9.474431457e-17
1880,1.880000000e-09,5.089256715e-16,3.314126438e-21,4.123847258e-16,1.228711211e+04,3.392848808e-07,-9.654425978e-17
1890,1.890000000e-09,5.109498857e-16,3.404035056e-21,4.123767633e-16,1.233598319e+04,3.406343904e-07,-9.857652646e-17
1900,1.900000000e-09,5.130779411e-16,3.414425962e-21,4.123725773e-16,1.238736133e+04,3.420531028e-07,-1.007087782e-16
1910,1.910000000e-09,5.153024265e-16,3.601774892e-21,4.123637236e-16,1.244106761e+04,3.435361513e-07,-1.029423047e-16
1920,1.920000000e-09,5.175719422e-16,3.846140563e-21,4.123632829e-16,1.249586106e+04,3.450492421e-07,-1.052125055e-16
1930,1.930000000e-09,5.199061890e-16,3.995242241e-21,4.123537488e-16,1.255221733e+04,3.466054571e-07,-1.075564355e-16
1940,1.940000000e-09,5.224128658e-16,4.119363358e-21,4.123410995e-16,1.261273661e+04,3.482766166e-07,-1.100758857e-16
1950,1.950000000e-09,5.251281637e-16,4.316363296e-21,4.123350537e-16,1.267829269e+04,3.500868798e-07,-1.127974263e-16
1960,1.960000000e-09,5.280253967e-16,4.359278029e-21,4.123271413e-16,1.274824127e+04,3.520183846e-07,-1.157026147e-16
1970,1.970000000e-09,5.311037691e-16,4.479505524e-21,4.123162841e-16,1.282256313e+04,3.540706735e-07,-1.187919645e-16
1980,1.980000000e-09,5.342429238e-16,4.724185909e-21,4.123198267e-16,1.289835248e+04,3.561635232e-07,-1.219278213e-16
1990,1.990000000e-09,5.373737154e-16,4.838972217e-21,4.123203068e-16,1.297393992e+04,3.582507564e-07,-1.250582476e-16
2000,2.000000000e-09,5.406094812e-16,5.044786262e-21,4.123177420e-16,1.305206178e+04,3.604080002e-07,-1.282967840e-16
2010,2.010000000e-09,5.438191534e-16,5.272635352e-21,4.123276987e-16,1.312955365e+04,3.625478591e-07,-1.314967273e-16
2020,2.020000000e-09,5.469144515e-16,5.534754098e-21,4.123374043e-16,1.320428416e+04,3.646114783e-07,-1.345825820e-16
2030,2.030000000e-09,5.500507273e-16,5.756786449e-21,4.123267817e-16,1.328000400e+04,3.667024021e-07,-1.377297024e-16
2040,2.040000000e-09,5.531974165e-16,5.939845416e-21,4.123314676e-16,1.335597526e+04,3.688002563e-07,-1.408718887e-16
2050,2.050000000e-09,5.562109491e-16,6.158602279e-21,4.123316117e-16,1.342873168e+04,3.708093513e-07,-1.438854960e-16
2060,2.060000000e-09,5.592896612e-16,6.337111484e-21,4.123227032e-16,1.350306175e+04,3.728618883e-07,-1.469732952e-16
2070,2.070000000e-09,5.625263974e-16,6.490448490e-21,4.123243352e-16,1.358120704e+04,3.750197618e-07,-1.502085527e-16
