step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
0,0.000000000e+00,4.390767080e-16,-8.021806876e-23,4.390766278e-16,1.060073217e+05,2.927177787e-07
10,1.000000000e-11,4.390767122e-16,-8.120326969e-23,4.390766310e-16,1.060073227e+05,2.927177811e-07
20,2.000000000e-11,4.390767037e-16,-7.529602184e-23,4.390766284e-16,1.060073206e+05,2.927177774e-07
30,3.000000000e-11,4.390766897e-16,-5.881054710e-23,4.390766309e-16,1.060073173e+05,2.927177736e-07
40,4.000000000e-11,4.390766817e-16,-5.205740954e-23,4.390766296e-16,1.060073153e+05,2.927177704e-07
50,5.000000000e-11,4.390766801e-16,-5.070153011e-23,4.390766294e-16,1.060073149e+05,2.927177698e-07
60,6.000000000e-11,4.390767295e-16,-9.890411626e-23,4.390766306e-16,1.060073269e+05,2.927177879e-07
70,7.000000000e-11,4.390766754e-16,-4.569960841e-23,4.390766297e-16,1.060073138e+05,2.927177683e-07
80,8.000000000e-11,4.390766725e-16,-4.369797727e-23,4.390766288e-16,1.060073131e+05,2.927177671e-07
90,9.000000000e-11,4.390766844e-16,-5.702013354e-23,4.390766274e-16,1.060073160e+05,2.927177706e-07
100,1.000000000e-10,4.390767005e-16,-7.054178271e-23,4.390766299e-16,1.060073199e+05,2.927177768e-07
110,1.100000000e-10,4.390767008e-16,-7.145671404e-23,4.390766294e-16,1.060073199e+05,2.927177767e-07
120,1.200000000e-10,4.390767032e-16,-7.554547837e-23,4.390766277e-16,1.060073205e+05,2.927177770e-07
130,1.300000000e-10,4.390767410e-16,-1.158074574e-22,4.390766251e-16,1.060073296e+05,2.927177889e-07
140,1.400000000e-10,4.390767306e-16,-1.014421320e-22,4.390766292e-16,1.060073271e+05,2.927177866e-07
150,1.500000000e-10,4.390767165e-16,-8.717781736e-23,4.390766294e-16,1.060073237e+05,2.927177820e-07
160,1.600000000e-10,4.390767340e-16,-1.051191593e-22,4.390766289e-16,1.060073280e+05,2.927177878e-07
170,1.700000000e-10,4.390767276e-16,-9.679969718e-23,4.390766308e-16,1.060073264e+05,2.927177862e-07
180,1.800000000e-10,4.390767125e-16,-8.318921911e-23,4.390766293e-16,1.060073228e+05,2.927177806e-07
190,1.900000000e-10,4.390767091e-16,-7.979011090e-23,4.390766293e-16,1.060073219e+05,2.927177795e-07
200,2.000000000e-10,4.390767127e-16,-8.451294372e-23,4.390766282e-16,1.060073228e+05,2.927177804e-07
210,2.100000000e-10,4.390767048e-16,-7.527039376e-23,4.390766295e-16,1.060073209e+05,2.927177781e-07
220,2.200000000e-10,4.390767000e-16,-7.076090214e-23,4.390766292e-16,1.060073197e+05,2.927177764e-07
230,2.300000000e-10,4.390766982e-16,-6.899596156e-23,4.390766292e-16,1.060073193e+05,2.927177758e-07
240,2.400000000e-10,4.390766970e-16,-6.699350842e-23,4.390766300e-16,1.060073190e+05,2.927177757e-07
250,2.500000000e-10,4.390767128e-16,-8.902739709e-23,4.390766237e-16,1.060073228e+05,2.927177790e-07
260,2.600000000e-10,4.390765486e-16,-7.865611139e-23,4.390764700e-16,1.060072832e+05,2.927176729e-07
270,2.700000000e-10,4.390765396e-16,-6.991696279e-23,4.390764697e-16,1.060072810e+05,2.927176698e-07
280,2.800000000e-10,4.390765178e-16,-4.763933594e-23,4.390764701e-16,1.060072757e+05,2.927176626e-07
290,2.900000000e-10,4.390765216e-16,-5.353095319e-23,4.390764681e-16,1.060072767e+05,2.927176632e-07
300,3.000000000e-10,4.390765294e-16,-6.028846902e-23,4.390764691e-16,1.060072786e+05,2.927176662e-07
310,3.100000000e-10,4.390765212e-16,-5.126979709e-23,4.390764700e-16,1.060072766e+05,2.927176637e-07
320,3.200000000e-10,4.390764951e-16,-2.591079357e-23,4.390764691e-16,1.060072703e+05,2.927176547e-07
330,3.300000000e-10,4.390765087e-16,-4.058198022e-23,4.390764681e-16,1.060072736e+05,2.927176589e-07
340,3.400000000e-10,4.390765155e-16,-4.672355425e-23,4.390764688e-16,1.060072752e+05,2.927176614e-07
