step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
0,0.000000000e+00,4.128243044e-16,-6.084787452e-22,4.127889652e-16,9.966914217e+03,2.752159984e-07,-3.473071770e-20
10,1.000000000e-11,4.128246633e-16,-6.042668624e-22,4.127890416e-16,9.966922882e+03,2.752162392e-07,-3.501743414e-20
20,2.000000000e-11,4.128205793e-16,-6.768352204e-22,4.127894422e-16,9.966824282e+03,2.752134948e-07,-3.046031576e-20
30,3.000000000e-11,4.128175533e-16,-6.800146387e-22,4.127888741e-16,9.966751225e+03,2.752114755e-07,-2.799923393e-20
40,4.000000000e-11,4.128207773e-16,-5.924251121e-22,4.127888543e-16,9.966829060e+03,2.752136519e-07,-3.133051434e-20
50,5.000000000e-11,4.128173339e-16,-5.885600780e-22,4.127893263e-16,9.966745927e+03,2.752113589e-07,-2.741899946e-20
60,6.000000000e-11,4.128118543e-16,-6.337862595e-22,4.127889720e-16,9.966613631e+03,2.752076905e-07,-2.224850326e-20
70,7.000000000e-11,4.128141488e-16,-6.752360731e-22,4.127887336e-16,9.966669028e+03,2.752092073e-07,-2.473992354e-20
80,8.000000000e-11,4.128140372e-16,-7.623674352e-22,4.127890963e-16,9.966666334e+03,2.752091063e-07,-2.417859894e-20
90,9.000000000e-11,4.128081695e-16,-8.523115457e-22,4.127891350e-16,9.966524667e+03,2.752051695e-07,-1.818209988e-20
100,1.000000000e-10,4.128082129e-16,-8.591343314e-22,4.127890106e-16,9.966525716e+03,2.752051910e-07,-1.834311785e-20
110,1.100000000e-10,4.128083441e-16,-7.768791902e-22,4.127890098e-16,9.966528883e+03,2.752053044e-07,-1.855742637e-20
120,1.200000000e-10,4.128071038e-16,-7.303898902e-22,4.127891340e-16,9.966498940e+03,2.752044917e-07,-1.723947869e-20
130,1.300000000e-10,4.128024602e-16,-7.796642078e-22,4.127893358e-16,9.966386827e+03,2.752013805e-07,-1.234472411e-20
140,1.400000000e-10,4.128029864e-16,-7.593378036e-22,4.127888650e-16,9.966399531e+03,2.752017374e-07,-1.336207132e-20
150,1.500000000e-10,4.128047402e-16,-6.966849068e-22,4.127891066e-16,9.966441874e+03,2.752029260e-07,-1.493694434e-20
160,1.600000000e-10,4.128003026e-16,-7.440905176e-22,4.127892944e-16,9.966334735e+03,2.751999536e-07,-1.026403296e-20
170,1.700000000e-10,4.127973643e-16,-8.409559198e-22,4.127890850e-16,9.966263797e+03,2.751979651e-07,-7.438414537e-21
180,1.800000000e-10,4.127996002e-16,-7.199114303e-22,4.127888113e-16,9.966317778e+03,2.751994935e-07,-1.006896580e-20
190,1.900000000e-10,4.127994833e-16,-7.288285417e-22,4.127893545e-16,9.966314955e+03,2.751994123e-07,-9.399978144e-21
200,2.000000000e-10,4.127929153e-16,-7.340366498e-22,4.127891496e-16,9.966156383e+03,2.751950323e-07,-3.031680639e-21
210,2.100000000e-10,4.127948765e-16,-7.313646329e-22,4.127887711e-16,9.966203732e+03,2.751963403e-07,-5.373993616e-21
220,2.200000000e-10,4.127963770e-16,-7.003450797e-22,4.127892041e-16,9.966239960e+03,2.751973493e-07,-6.472581583e-21
230,2.300000000e-10,4.127925071e-16,-7.474395341e-22,4.127893068e-16,9.966146526e+03,2.751947552e-07,-2.452795834e-21
240,2.400000000e-10,4.127901223e-16,-7.438006362e-22,4.127890541e-16,9.966088949e+03,2.751931664e-07,-3.243841091e-22
250,2.500000000e-10,4.127923674e-16,-7.460792602e-22,4.127889490e-16,9.966143155e+03,2.751946600e-07,-2.672346704e-21
260,2.600000000e-10,4.127918596e-16,-7.702783615e-22,4.127893095e-16,9.966130895e+03,2.751943144e-07,-1.779841197e-21
270,2.700000000e-10,4.127878180e-16,-7.382629698e-22,4.127891429e-16,9.966033318e+03,2.751916320e-07,2.063078777e-21
280,2.800000000e-10,4.127873878e-16,-7.099490208e-22,4.127889953e-16,9.966022930e+03,2.751913537e-07,2.317501667e-21
290,2.900000000e-10,4.127885554e-16,-6.308930117e-22,4.127889799e-16,9.966051121e+03,2.751921452e-07,1.055383844e-21
300,3.000000000e-10,4.127873010e-16,-6.933206864e-22,4.127892926e-16,9.966020836e+03,2.751913007e-07,2.684910132e-21
310,3.100000000e-10,4.127827159e-16,-7.519176602e-22,4.127891463e-16,9.965910137e+03,2.751882270e-07,7.182284845e-21
320,3.200000000e-10,4.127843198e-16,-7.228390179e-22,4.127888929e-16,9.965948859e+03,2.751893048e-07,5.295957253e-21
330,3.300000000e-10,4.127856167e-16,-6.399855641e-22,4.127891935e-16,9.965980170e+03,2.751901931e-07,4.216807587e-21
340,3.400000000e-10,4.127819566e-16,-7.335211578e-22,4.127893145e-16,9.965891804e+03,2.751877287e-07,8.091444783e-21
350,3.500000000e-10,4.127793623e-16,-7.545920724e-22,4.127890628e-16,9.965829168e+03,2.751859904e-07,1.045510296e-20
360,3.600000000e-10,4.127824917e-16,-7.482058160e-22,4.127888777e-16,9.965904723e+03,2.751880775e-07,7.134236550e-21
370,3.700000000e-10,4.127813861e-16,-8.035762567e-22,4.127892985e-16,9.965878031e+03,2.751873231e-07,8.715952933e-21
380,3.800000000e-10,4.127762570e-16,-8.712690612e-22,4.127892726e-16,9.965754196e+03,2.751838880e-07,1.388687081e-20
390,3.900000000e-10,4.127771642e-16,-8.621052899e-22,4.127889657e-16,9.965776099e+03,2.751844889e-07,1.266369087e-20
400,4.000000000e-10,4.127793391e-16,-9.186928213e-22,4.127891152e-16,9.965828608e+03,2.751859237e-07,1.069481724e-20
410,4.100000000e-10,4.127747234e-16,-8.620916381e-22,4.127894307e-16,9.965717172e+03,2.751828630e-07,1.556937181e-20
420,4.200000000e-10,4.127718902e-16,-7.981800594e-22,4.127890927e-16,9.965648768e+03,2.751809935e-07,1.800069992e-20
430,4.300000000e-10,4.127752104e-16,-8.483303290e-22,4.127890628e-16,9.965728930e+03,2.751831920e-07,1.470069461e-20
440,4.400000000e-10,4.127734135e-16,-7.953703175e-22,4.127893435e-16,9.965685546e+03,2.751820106e-07,1.672540812e-20
450,4.500000000e-10,4.127703878e-16,-7.894168973e-22,4.127891371e-16,9.965612496e+03,2.751799956e-07,1.953866522e-20
460,4.600000000e-10,4.127690349e-16,-8.370849201e-22,4.127888559e-16,9.965579832e+03,2.751790778e-07,2.065814543e-20
470,4.700000000e-10,4.127719634e-16,-8.431452855e-22,4.127889794e-16,9.965650535e+03,2.751810281e-07,1.785921935e-20
480,4.800000000e-10,4.127692466e-16,-8.480350281e-22,4.127895096e-16,9.965584944e+03,2.751792155e-07,2.111098635e-20
490,4.900000000e-10,4.127650142e-16,-8.696649527e-22,4.127889498e-16,9.965482761e+03,2.751763870e-07,2.480523917e-20
500,5.000000000e-10,4.127672924e-16,-8.605177290e-22,4.127888402e-16,9.965537762e+03,2.751779085e-07,2.240834449e-20
510,5.100000000e-10,4.127682695e-16,-9.130525175e-22,4.127891607e-16,9.965561352e+03,2.751785446e-07,2.180427362e-20
520,5.200000000e-10,4.127650570e-16,-9.351084481e-22,4.127892327e-16,9.965483793e+03,2.751763946e-07,2.511082219e-20
530,5.300000000e-10,4.127650003e-16,-9.579234299e-22,4.127885889e-16,9.965482424e+03,2.751763492e-07,2.454647159e-20
540,5.400000000e-10,4.127688245e-16,-8.799620432e-22,4.127887538e-16,9.965574753e+03,2.751789233e-07,2.080919287e-20
550,5.500000000e-10,4.127678269e-16,-8.542526118e-22,4.127889447e-16,9.965550668e+03,2.751782680e-07,2.197203971e-20
560,5.600000000e-10,4.127658901e-16,-8.584436605e-22,4.127889148e-16,9.965503908e+03,2.751769745e-07,2.388314569e-20
570,5.700000000e-10,4.127667411e-16,-7.777546788e-22,4.127887342e-16,9.965524452e+03,2.751775667e-07,2.277091641e-20
580,5.800000000e-10,4.127709367e-16,-7.991456288e-22,4.127890035e-16,9.965625749e+03,2.751803543e-07,1.886592294e-20
590,5.900000000e-10,4.127672587e-16,-8.865224197e-22,4.127891504e-16,9.965536950e+03,2.751778781e-07,2.277817205e-20
600,6.000000000e-10,4.127664287e-16,-8.607601881e-22,4.127886748e-16,9.965516909e+03,2.751773331e-07,2.310688801e-20
610,6.100000000e-10,4.127707894e-16,-8.885971421e-22,4.127889605e-16,9.965622193e+03,2.751802316e-07,1.905969873e-20
620,6.200000000e-10,4.127700574e-16,-7.727925021e-22,4.127893196e-16,9.965604520e+03,2.751797768e-07,2.003490805e-20
630,6.300000000e-10,4.127668724e-16,-8.119961314e-22,4.127891917e-16,9.965527623e+03,2.751776442e-07,2.313126545e-20
640,6.400000000e-10,4.127691879e-16,-8.589523512e-22,4.127891685e-16,9.965583526e+03,2.751791728e-07,2.083953986e-20
650,6.500000000e-10,4.127715226e-16,-8.600330023e-22,4.127891933e-16,9.965639893e+03,2.751807279e-07,1.853078795e-20
660,6.600000000e-10,4.127712897e-16,-8.642593388e-22,4.127892915e-16,9.965634270e+03,2.751805723e-07,1.886609173e-20
670,6.700000000e-10,4.127673620e-16,-8.064059099e-22,4.127889611e-16,9.965539442e+03,2.751779729e-07,2.240553831e-20
680,6.800000000e-10,4.127710511e-16,-7.775957736e-22,4.127887436e-16,9.965628510e+03,2.751804415e-07,1.847005242e-20
690,6.900000000e-10,4.127735970e-16,-7.700533038e-22,4.127893109e-16,9.965689977e+03,2.751821412e-07,1.648388604e-20
700,7.000000000e-10,4.127690931e-16,-7.699350436e-22,4.127891778e-16,9.965581238e+03,2.751791390e-07,2.085459326e-20
710,7.100000000e-10,4.127699334e-16,-7.692280585e-22,4.127884422e-16,9.965601524e+03,2.751796996e-07,1.927809933e-20
720,7.200000000e-10,4.127743570e-16,-8.319050561e-22,4.127889782e-16,9.965708326e+03,2.751826286e-07,1.545303355e-20
730,7.300000000e-10,4.127720362e-16,-7.876428970e-22,4.127890545e-16,9.965652294e+03,2.751810949e-07,1.780591421e-20
740,7.400000000e-10,4.127709798e-16,-7.632039783e-22,4.127889473e-16,9.965626788e+03,2.751803986e-07,1.873070180e-20
750,7.500000000e-10,4.127724866e-16,-8.079346176e-22,4.127889338e-16,9.965663167e+03,2.751813882e-07,1.725515923e-20
760,7.600000000e-10,4.127758192e-16,-8.484227943e-22,4.127892194e-16,9.965743627e+03,2.751835968e-07,1.424866663e-20
770,7.700000000e-10,4.127738728e-16,-9.692633343e-22,4.127893671e-16,9.965696635e+03,2.751822618e-07,1.646358564e-20
