step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
0,0.000000000e+00,1.208589984e-16,-1.427065900e-23,1.259441328e-16,9.726424024e+03,8.057266086e-11,5.085148696e-18
10,1.000000000e-11,1.208590799e-16,-1.487992600e-23,1.259441269e-16,9.726430578e+03,8.057271494e-11,5.085061937e-18
20,2.000000000e-11,1.208591312e-16,-1.468001458e-23,1.259441350e-16,9.726434710e+03,8.057274925e-11,5.085018517e-18
30,3.000000000e-11,1.208590311e-16,-1.385140263e-23,1.259441380e-16,9.726426657e+03,8.057268281e-11,5.085120698e-18
40,4.000000000e-11,1.208590167e-16,-1.399945100e-23,1.259441288e-16,9.726425491e+03,8.057267310e-11,5.085126129e-18
50,5.000000000e-11,1.208591226e-16,-1.445505096e-23,1.259441292e-16,9.726434021e+03,8.057274361e-11,5.085020997e-18
60,6.000000000e-11,1.208590993e-16,-1.374512574e-23,1.259441382e-16,9.726432140e+03,8.057272827e-11,5.085052694e-18
70,7.000000000e-11,1.208590031e-16,-1.332985914e-23,1.259441345e-16,9.726424400e+03,8.057266429e-11,5.085144745e-18
80,8.000000000e-11,1.208590629e-16,-1.375294440e-23,1.259441268e-16,9.726429213e+03,8.057270401e-11,5.085077667e-18
90,9.000000000e-11,1.208591390e-16,-1.370202608e-23,1.259441333e-16,9.726435336e+03,8.057275476e-11,5.085008040e-18
100,1.000000000e-10,1.208590534e-16,-1.296872333e-23,1.259441386e-16,9.726428448e+03,8.057269794e-11,5.085098199e-18
110,1.100000000e-10,1.208590108e-16,-1.297460772e-23,1.259441302e-16,9.726425023e+03,8.057266956e-11,5.085132319e-18
120,1.200000000e-10,1.208591144e-16,-1.333622312e-23,1.259441279e-16,9.726433361e+03,8.057273851e-11,5.085026833e-18
130,1.300000000e-10,1.208591220e-16,-1.283198781e-23,1.259441372e-16,9.726433966e+03,8.057274369e-11,5.085028066e-18
140,1.400000000e-10,1.208590188e-16,-1.240925082e-23,1.259441360e-16,9.726425661e+03,8.057267504e-11,5.085129684e-18
150,1.500000000e-10,1.208590522e-16,-1.265577150e-23,1.259441272e-16,9.726428350e+03,8.057269723e-11,5.085087674e-18
160,1.600000000e-10,1.208591468e-16,-1.266948244e-23,1.259441316e-16,9.726435966e+03,8.057276031e-11,5.084997426e-18
170,1.700000000e-10,1.208590827e-16,-1.208484599e-23,1.259441388e-16,9.726430809e+03,8.057271780e-11,5.085068138e-18
180,1.800000000e-10,1.208590157e-16,-1.201530494e-23,1.259441318e-16,9.726425416e+03,8.057267314e-11,5.085128072e-18
190,1.900000000e-10,1.208591086e-16,-1.226486883e-23,1.259441271e-16,9.726432895e+03,8.057273501e-11,5.085030707e-18
200,2.000000000e-10,1.208591465e-16,-1.194903000e-23,1.259441358e-16,9.726435940e+03,8.057276034e-11,5.085001257e-18
210,2.100000000e-10,1.208590449e-16,-1.162121762e-23,1.259441373e-16,9.726427761e+03,8.057269270e-11,5.085104047e-18
220,2.200000000e-10,1.208590494e-16,-1.179745051e-23,1.259441280e-16,9.726428130e+03,8.057269569e-11,5.085090387e-18
230,2.300000000e-10,1.208591551e-16,-1.189261924e-23,1.259441299e-16,9.726436631e+03,8.057276609e-11,5.084986715e-18
240,2.400000000e-10,1.208591179e-16,-1.155562288e-23,1.259441385e-16,9.726433643e+03,8.057274144e-11,5.085032072e-18
250,2.500000000e-10,1.208590322e-16,-1.157007401e-23,1.259441334e-16,9.726426746e+03,8.057268430e-11,5.085112779e-18
260,2.600000000e-10,1.208591073e-16,-1.185274110e-23,1.259441267e-16,9.726432784e+03,8.057273423e-11,5.085031283e-18
270,2.700000000e-10,1.208591726e-16,-1.179737456e-23,1.259441342e-16,9.726438041e+03,8.057277779e-11,5.084973363e-18
280,2.800000000e-10,1.208590810e-16,-1.165442637e-23,1.259441382e-16,9.726430674e+03,8.057271681e-11,5.085068770e-18
290,2.900000000e-10,1.208590567e-16,-1.187876502e-23,1.259441292e-16,9.726428718e+03,8.057270054e-11,5.085084370e-18
300,3.000000000e-10,1.208591651e-16,-1.210878688e-23,1.259441285e-16,9.726437436e+03,8.057277268e-11,5.084975497e-18
