step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
0,0.000000000e+00,4.128243044e-16,-6.084787452e-22,4.127889652e-16,9.966914217e+03,2.752159984e-07,-3.473071770e-20
10,1.000000000e-11,4.128266136e-16,-5.719953558e-22,4.127888620e-16,9.966969968e+03,2.752175458e-07,-3.717962995e-20
20,2.000000000e-11,4.128303867e-16,-6.255539656e-22,4.127887646e-16,9.967061063e+03,2.752200474e-07,-4.099656565e-20
30,3.000000000e-11,4.128349974e-16,-6.500007363e-22,4.127889488e-16,9.967172381e+03,2.752231143e-07,-4.539860236e-20
40,4.000000000e-11,4.128396494e-16,-6.873841336e-22,4.127889948e-16,9.967284696e+03,2.752262037e-07,-4.996728054e-20
50,5.000000000e-11,4.128483673e-16,-7.240551598e-22,4.127890695e-16,9.967495172e+03,2.752320037e-07,-5.857374553e-20
60,6.000000000e-11,4.128566070e-16,-7.330049575e-22,4.127890972e-16,9.967694106e+03,2.752374946e-07,-6.677673636e-20
70,7.000000000e-11,4.128669380e-16,-6.526923561e-22,4.127887646e-16,9.967943530e+03,2.752444027e-07,-7.752074999e-20
80,8.000000000e-11,4.128801780e-16,-7.007194613e-22,4.127887059e-16,9.968263186e+03,2.752532173e-07,-9.077140507e-20
90,9.000000000e-11,4.128950311e-16,-7.561626533e-22,4.127887650e-16,9.968621788e+03,2.752631014e-07,-1.055098919e-19
100,1.000000000e-10,4.129077842e-16,-8.245087449e-22,4.127887755e-16,9.968929689e+03,2.752715800e-07,-1.181841808e-19
110,1.100000000e-10,4.129196103e-16,-8.455725223e-22,4.127887630e-16,9.969215210e+03,2.752794571e-07,-1.300017307e-19
120,1.200000000e-10,4.129345264e-16,-9.046980032e-22,4.127886307e-16,9.969575333e+03,2.752893830e-07,-1.449910408e-19
130,1.300000000e-10,4.129524612e-16,-9.138955759e-22,4.127882642e-16,9.970008337e+03,2.753013367e-07,-1.632830830e-19
140,1.400000000e-10,4.129770308e-16,-9.063814507e-22,4.127881256e-16,9.970601527e+03,2.753177185e-07,-1.879988605e-19
150,1.500000000e-10,4.130023375e-16,-7.890265613e-22,4.127880322e-16,9.971212512e+03,2.753346228e-07,-2.135162458e-19
160,1.600000000e-10,4.130320975e-16,-8.312325931e-22,4.127876648e-16,9.971931015e+03,2.753544550e-07,-2.436014942e-19
170,1.700000000e-10,4.130679698e-16,-8.328647911e-22,4.127873985e-16,9.972797089e+03,2.753783704e-07,-2.797385153e-19
180,1.800000000e-10,4.131062995e-16,-8.821106991e-22,4.127873505e-16,9.973722492e+03,2.754039079e-07,-3.180669172e-19
190,1.900000000e-10,4.131473996e-16,-8.579020330e-22,4.127871456e-16,9.974714780e+03,2.754313135e-07,-3.593960353e-19
200,2.000000000e-10,4.131900991e-16,-8.998304417e-22,4.127870531e-16,9.975745684e+03,2.754597658e-07,-4.021461517e-19
210,2.100000000e-10,4.132361824e-16,-9.496851721e-22,4.127868700e-16,9.976858284e+03,2.754904716e-07,-4.483626766e-19
220,2.200000000e-10,4.132829669e-16,-1.027900160e-21,4.127867403e-16,9.977987812e+03,2.755216365e-07,-4.951986761e-19
230,2.300000000e-10,4.133337828e-16,-1.069249414e-21,4.127866138e-16,9.979214675e+03,2.755555016e-07,-5.460997917e-19
240,2.400000000e-10,4.133892110e-16,-1.126303553e-21,4.127863233e-16,9.980552890e+03,2.755924378e-07,-6.017613968e-19
250,2.500000000e-10,4.134485984e-16,-1.064558635e-21,4.127863799e-16,9.981986694e+03,2.756320478e-07,-6.611539768e-19
260,2.600000000e-10,4.135082112e-16,-9.958957361e-22,4.127863930e-16,9.983425940e+03,2.756718098e-07,-7.208223278e-19
270,2.700000000e-10,4.135687759e-16,-9.541435935e-22,4.127861342e-16,9.984888167e+03,2.757121996e-07,-7.816874897e-19
280,2.800000000e-10,4.136331640e-16,-1.003651783e-21,4.127860903e-16,9.986442705e+03,2.757551096e-07,-8.460700864e-19
290,2.900000000e-10,4.137021315e-16,-1.027713129e-21,4.127857700e-16,9.988107804e+03,2.758010870e-07,-9.153337655e-19
300,3.000000000e-10,4.137774586e-16,-8.832240148e-22,4.127855764e-16,9.989926443e+03,2.758513449e-07,-9.909989291e-19
310,3.100000000e-10,4.138608869e-16,-7.463882317e-22,4.127855394e-16,9.991940673e+03,2.759070066e-07,-1.074601127e-18
320,3.200000000e-10,4.139449205e-16,-7.561692106e-22,4.127852727e-16,9.993969516e+03,2.759630267e-07,-1.158891704e-18
330,3.300000000e-10,4.140334119e-16,-8.520843125e-22,4.127850504e-16,9.996105984e+03,2.760219887e-07,-1.247509380e-18
340,3.400000000e-10,4.141282067e-16,-9.630710100e-22,4.127847346e-16,9.998394637e+03,2.760851503e-07,-1.342509041e-18
350,3.500000000e-10,4.142271886e-16,-1.073565554e-21,4.127845770e-16,1.000078438e+04,2.761511032e-07,-1.441538054e-18
360,3.600000000e-10,4.143289705e-16,-1.090791501e-21,4.127846050e-16,1.000324172e+04,2.762189507e-07,-1.543274735e-18
370,3.700000000e-10,4.144323218e-16,-1.046458244e-21,4.127846948e-16,1.000573696e+04,2.762878658e-07,-1.646580576e-18
380,3.800000000e-10,4.145365496e-16,-9.339762596e-22,4.127845214e-16,1.000825336e+04,2.763573878e-07,-1.751094248e-18
390,3.900000000e-10,4.146446935e-16,-8.572440498e-22,4.127840550e-16,1.001086430e+04,2.764295061e-07,-1.859781194e-18
400,4.000000000e-10,4.147585123e-16,-9.386965340e-22,4.127838364e-16,1.001361225e+04,2.765053626e-07,-1.973737175e-18
410,4.100000000e-10,4.148772280e-16,-1.013301375e-21,4.127836583e-16,1.001647843e+04,2.765844943e-07,-2.092556394e-18
420,4.200000000e-10,4.149942644e-16,-9.287625535e-22,4.127841469e-16,1.001930407e+04,2.766625362e-07,-2.209188657e-18
430,4.300000000e-10,4.151118386e-16,-9.855142383e-22,4.127839135e-16,1.002214269e+04,2.767408992e-07,-2.326939669e-18
440,4.400000000e-10,4.152301529e-16,-9.335765680e-22,4.127839334e-16,1.002499918e+04,2.768197917e-07,-2.445285871e-18
450,4.500000000e-10,4.153471485e-16,-8.316038768e-22,4.127838708e-16,1.002782383e+04,2.768978220e-07,-2.562446051e-18
460,4.600000000e-10,4.154651476e-16,-7.649956949e-22,4.127836621e-16,1.003067272e+04,2.769765102e-07,-2.680720504e-18
470,4.700000000e-10,4.155856932e-16,-5.498403918e-22,4.127836711e-16,1.003358308e+04,2.770569053e-07,-2.801472316e-18
480,4.800000000e-10,4.157047799e-16,-7.204522324e-22,4.127836654e-16,1.003645821e+04,2.771362851e-07,-2.920394052e-18
490,4.900000000e-10,4.158259031e-16,-6.741285570e-22,4.127836021e-16,1.003938252e+04,2.772170449e-07,-3.041626856e-18
500,5.000000000e-10,4.159485018e-16,-5.999056545e-22,4.127832818e-16,1.004234245e+04,2.772988015e-07,-3.164620103e-18
510,5.100000000e-10,4.160724077e-16,-4.506385920e-22,4.127831132e-16,1.004533394e+04,2.773814491e-07,-3.288843880e-18
520,5.200000000e-10,4.161995279e-16,-5.721165223e-22,4.127830193e-16,1.004840303e+04,2.774661615e-07,-3.415936537e-18
530,5.300000000e-10,4.163286946e-16,-6.798757293e-22,4.127830511e-16,1.005152153e+04,2.775522387e-07,-3.544963669e-18
540,5.400000000e-10,4.164549953e-16,-6.964624564e-22,4.127830274e-16,1.005457084e+04,2.776364327e-07,-3.671271383e-18
550,5.500000000e-10,4.165811456e-16,-6.598959636e-22,4.127828611e-16,1.005761652e+04,2.777205447e-07,-3.797624650e-18
560,5.600000000e-10,4.167090213e-16,-5.607690606e-22,4.127829390e-16,1.006070385e+04,2.778058228e-07,-3.925521584e-18
570,5.700000000e-10,4.168378322e-16,-6.940121810e-22,4.127831397e-16,1.006381376e+04,2.778916619e-07,-4.053998523e-18
580,5.800000000e-10,4.169640206e-16,-6.353076448e-22,4.127831137e-16,1.006686036e+04,2.779758027e-07,-4.180271581e-18
590,5.900000000e-10,4.170898209e-16,-6.168225482e-22,4.127831275e-16,1.006989758e+04,2.780596757e-07,-4.306076581e-18
600,6.000000000e-10,4.172134468e-16,-6.379698725e-22,4.127833851e-16,1.007288231e+04,2.781420864e-07,-4.429423691e-18
610,6.100000000e-10,4.173356959e-16,-6.750379115e-22,4.127833517e-16,1.007583380e+04,2.782235755e-07,-4.551669217e-18
620,6.200000000e-10,4.174583555e-16,-6.762748736e-22,4.127832269e-16,1.007879520e+04,2.783053461e-07,-4.674452360e-18
630,6.300000000e-10,4.175829732e-16,-7.423420145e-22,4.127831160e-16,1.008180388e+04,2.783884173e-07,-4.799114894e-18
640,6.400000000e-10,4.177071563e-16,-7.290447528e-22,4.127832303e-16,1.008480206e+04,2.784712061e-07,-4.923196960e-18
650,6.500000000e-10,4.178342322e-16,-5.709136869e-22,4.127828614e-16,1.008787008e+04,2.785559646e-07,-5.050799839e-18
660,6.600000000e-10,4.179667207e-16,-5.412139506e-22,4.127826091e-16,1.009106878e+04,2.786443020e-07,-5.183570351e-18
670,6.700000000e-10,4.181015631e-16,-5.123383291e-22,4.127823450e-16,1.009432431e+04,2.787342060e-07,-5.318705717e-18
680,6.800000000e-10,4.182390591e-16,-4.920929409e-22,4.127824351e-16,1.009764391e+04,2.788258765e-07,-5.456131842e-18
690,6.900000000e-10,4.183727609e-16,-4.046039777e-22,4.127824930e-16,1.010087191e+04,2.789150394e-07,-5.589863298e-18
700,7.000000000e-10,4.185078045e-16,-3.586758250e-22,4.127823378e-16,1.010413230e+04,2.790050844e-07,-5.725107988e-18
710,7.100000000e-10,4.186442424e-16,-3.247628878e-22,4.127822901e-16,1.010742635e+04,2.790960554e-07,-5.861627563e-18
720,7.200000000e-10,4.187805403e-16,-2.501172323e-22,4.127822805e-16,1.011071702e+04,2.791869442e-07,-5.998009735e-18
730,7.300000000e-10,4.189184077e-16,-2.046558751e-22,4.127821389e-16,1.011404559e+04,2.792788731e-07,-6.136064134e-18
740,7.400000000e-10,4.190588364e-16,-1.522634031e-22,4.127819253e-16,1.011743599e+04,2.793725092e-07,-6.276758815e-18
750,7.500000000e-10,4.192014129e-16,-1.615832398e-23,4.127817379e-16,1.012087825e+04,2.794675996e-07,-6.419658875e-18
760,7.600000000e-10,4.193499638e-16,-3.072852373e-24,4.127814370e-16,1.012446475e+04,2.795666414e-07,-6.568523685e-18
770,7.700000000e-10,4.194983155e-16,-2.886242402e-23,4.127814412e-16,1.012804644e+04,2.796655348e-07,-6.716845429e-18
780,7.800000000e-10,4.196484278e-16,-1.039078238e-23,4.127813259e-16,1.013167063e+04,2.797656161e-07,-6.867091576e-18
790,7.900000000e-10,4.197997012e-16,6.926222116e-23,4.127813326e-16,1.013532286e+04,2.798664920e-07,-7.018437826e-18
800,8.000000000e-10,4.199526217e-16,2.075186400e-22,4.127812759e-16,1.013901486e+04,2.799684853e-07,-7.171553270e-18
810,8.100000000e-10,4.201054430e-16,2.659199588e-22,4.127812794e-16,1.014270446e+04,2.800703841e-07,-7.324429565e-18
820,8.200000000e-10,4.202592867e-16,2.953644691e-22,4.127811542e-16,1.014641874e+04,2.801729564e-07,-7.478427880e-18
830,8.300000000e-10,4.204133831e-16,3.293593958e-22,4.127813350e-16,1.015013913e+04,2.802756995e-07,-7.632377504e-18
840,8.400000000e-10,4.205645012e-16,3.480232736e-22,4.127814004e-16,1.015378761e+04,2.803764510e-07,-7.783448829e-18
850,8.500000000e-10,4.207165044e-16,4.173215586e-22,4.127814050e-16,1.015745746e+04,2.804778092e-07,-7.935516718e-18
860,8.600000000e-10,4.208681643e-16,6.012296106e-22,4.127815065e-16,1.016111902e+04,2.805789750e-07,-8.087259028e-18
870,8.700000000e-10,4.210207240e-16,7.070907688e-22,4.127814309e-16,1.016480230e+04,2.806807171e-07,-8.240000189e-18
880,8.800000000e-10,4.211763840e-16,6.383729426e-22,4.127814315e-16,1.016856044e+04,2.807844750e-07,-8.395590830e-18
890,8.900000000e-10,4.213310692e-16,7.774272964e-22,4.127814619e-16,1.017229504e+04,2.808876378e-07,-8.550384657e-18
900,9.000000000e-10,4.214823015e-16,7.965167437e-22,4.127820922e-16,1.017594628e+04,2.809884658e-07,-8.701005878e-18
910,9.100000000e-10,4.216287226e-16,8.002017959e-22,4.127824214e-16,1.017948135e+04,2.810860812e-07,-8.847101389e-18
920,9.200000000e-10,4.217747035e-16,7.869534403e-22,4.127823330e-16,1.018300581e+04,2.811833974e-07,-8.993157464e-18
930,9.300000000e-10,4.219169536e-16,7.150165830e-22,4.127822906e-16,1.018644018e+04,2.812782091e-07,-9.135377994e-18
