step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
470,4.700000000e-10,4.127963137e-16,-8.513281460e-22,4.128062067e-16,9.966238431e+03,2.751972589e-07,1.074436032e-20
480,4.800000000e-10,4.127941612e-16,-8.567379561e-22,4.128063960e-16,9.966186463e+03,2.751958223e-07,1.309150560e-20
490,4.900000000e-10,4.127925654e-16,-8.808418747e-22,4.128062703e-16,9.966147934e+03,2.751947508e-07,1.458574048e-20
500,5.000000000e-10,4.127934628e-16,-8.711091365e-22,4.128061530e-16,9.966169601e+03,2.751953520e-07,1.356134278e-20
510,5.100000000e-10,4.127934544e-16,-9.257941718e-22,4.128063143e-16,9.966169399e+03,2.751953306e-07,1.378560783e-20
520,5.200000000e-10,4.127908334e-16,-9.413561803e-22,4.128064289e-16,9.966106118e+03,2.751935768e-07,1.653692581e-20
530,5.300000000e-10,4.127900690e-16,-9.641345412e-22,4.128060590e-16,9.966087663e+03,2.751930595e-07,1.695418511e-20
540,5.400000000e-10,4.127928516e-16,-8.889454854e-22,4.128062313e-16,9.966154845e+03,2.751949385e-07,1.426869144e-20
550,5.500000000e-10,4.127910246e-16,-8.629419376e-22,4.128064987e-16,9.966110735e+03,2.751937303e-07,1.633702846e-20
560,5.600000000e-10,4.127899783e-16,-8.680559705e-22,4.128063065e-16,9.966085474e+03,2.751930301e-07,1.719621485e-20
570,5.700000000e-10,4.127912494e-16,-7.911355983e-22,4.128063589e-16,9.966116162e+03,2.751939016e-07,1.590069498e-20
580,5.800000000e-10,4.127921651e-16,-8.103549870e-22,4.128063735e-16,9.966138270e+03,2.751945029e-07,1.501872397e-20
590,5.900000000e-10,4.127909671e-16,-8.909981714e-22,4.128064438e-16,9.966109347e+03,2.751936822e-07,1.636770370e-20
600,6.000000000e-10,4.127898239e-16,-8.701869303e-22,4.128062819e-16,9.966081745e+03,2.751929267e-07,1.732819348e-20
610,6.100000000e-10,4.127922871e-16,-8.946485525e-22,4.128062921e-16,9.966141215e+03,2.751945612e-07,1.489968208e-20
620,6.200000000e-10,4.127922837e-16,-7.824805376e-22,4.128064657e-16,9.966141133e+03,2.751945911e-07,1.496446038e-20
630,6.300000000e-10,4.127899495e-16,-8.201694193e-22,4.128063087e-16,9.966084779e+03,2.751930262e-07,1.717933584e-20
640,6.400000000e-10,4.127910296e-16,-8.685427462e-22,4.128060535e-16,9.966110857e+03,2.751937308e-07,1.589236848e-20
650,6.500000000e-10,4.127932474e-16,-8.679529420e-22,4.128063059e-16,9.966164399e+03,2.751952085e-07,1.392651596e-20
660,6.600000000e-10,4.127909483e-16,-8.707765326e-22,4.128063339e-16,9.966108893e+03,2.751936758e-07,1.625635141e-20
670,6.700000000e-10,4.127907762e-16,-8.024790279e-22,4.128059968e-16,9.966104737e+03,2.751935836e-07,1.602312324e-20
680,6.800000000e-10,4.127923993e-16,-7.786514430e-22,4.128060658e-16,9.966143924e+03,2.751946732e-07,1.444513730e-20
690,6.900000000e-10,4.127926622e-16,-7.743312870e-22,4.128060808e-16,9.966150271e+03,2.751948499e-07,1.419296794e-20
700,7.000000000e-10,4.127912982e-16,-7.755036687e-22,4.128062794e-16,9.966117340e+03,2.751939405e-07,1.575670941e-20
710,7.100000000e-10,4.127914100e-16,-7.773083891e-22,4.128058579e-16,9.966120039e+03,2.751940146e-07,1.522527859e-20
720,7.200000000e-10,4.127938892e-16,-8.355687794e-22,4.128060046e-16,9.966179895e+03,2.751956486e-07,1.295100894e-20
730,7.300000000e-10,4.127924803e-16,-7.936730701e-22,4.128060769e-16,9.966145881e+03,2.751947222e-07,1.439023807e-20
740,7.400000000e-10,4.127913972e-16,-7.725666935e-22,4.128059800e-16,9.966119732e+03,2.751940071e-07,1.535527984e-20
750,7.500000000e-10,4.127932883e-16,-8.144252036e-22,4.128057720e-16,9.966165389e+03,2.751952539e-07,1.329805292e-20
760,7.600000000e-10,4.127942576e-16,-8.462204059e-22,4.128059643e-16,9.966188789e+03,2.751958897e-07,1.255296309e-20
770,7.700000000e-10,4.127929456e-16,-9.214073881e-22,4.128059605e-16,9.966157113e+03,2.751949912e-07,1.393636908e-20
780,7.800000000e-10,4.127927966e-16,-9.680040777e-22,4.128057604e-16,9.966153516e+03,2.751948768e-07,1.393179345e-20
790,7.900000000e-10,4.127949390e-16,-9.205772387e-22,4.128056575e-16,9.966205242e+03,2.751963199e-07,1.163904036e-20
800,8.000000000e-10,4.127946792e-16,-9.091232731e-22,4.128059087e-16,9.966198969e+03,2.751961510e-07,1.213864072e-20
810,8.100000000e-10,4.127930042e-16,-9.598891764e-22,4.128058231e-16,9.966158529e+03,2.751950226e-07,1.377874638e-20
820,8.200000000e-10,4.127943524e-16,-7.917422863e-22,4.128057575e-16,9.966191078e+03,2.751959710e-07,1.219685976e-20
830,8.300000000e-10,4.127960625e-16,-7.712947645e-22,4.128057946e-16,9.966232367e+03,2.751971186e-07,1.050332968e-20
840,8.400000000e-10,4.127953117e-16,-7.833765206e-22,4.128061211e-16,9.966214239e+03,2.751966134e-07,1.159276987e-20
850,8.500000000e-10,4.127935507e-16,-7.930339337e-22,4.128059031e-16,9.966171723e+03,2.751954364e-07,1.314545519e-20
860,8.600000000e-10,4.127970456e-16,-8.209329634e-22,4.128058190e-16,9.966256102e+03,2.751977589e-07,9.594279170e-21
870,8.700000000e-10,4.127967779e-16,-7.522684738e-22,4.128061453e-16,9.966249638e+03,2.751976016e-07,1.011970691e-20
880,8.800000000e-10,4.127949034e-16,-7.406628526e-22,4.128059984e-16,9.966204383e+03,2.751963566e-07,1.183560442e-20
890,8.900000000e-10,4.127964057e-16,-6.693906381e-22,4.128059615e-16,9.966240652e+03,2.751973807e-07,1.022522615e-20
900,9.000000000e-10,4.127976836e-16,-6.390220481e-22,4.128059925e-16,9.966271505e+03,2.751982423e-07,8.947954050e-21
910,9.100000000e-10,4.127972556e-16,-6.065465336e-22,4.128062605e-16,9.966261171e+03,2.751979664e-07,9.611405928e-21
920,9.200000000e-10,4.127955833e-16,-6.223041854e-22,4.128061953e-16,9.966220797e+03,2.751968477e-07,1.123432561e-20
930,9.300000000e-10,4.127979474e-16,-6.215813509e-22,4.128060739e-16,9.966277874e+03,2.751984240e-07,8.748058711e-21
940,9.400000000e-10,4.127994406e-16,-6.119874215e-22,4.128062332e-16,9.966313924e+03,2.751994209e-07,7.404625580e-21
950,9.500000000e-10,4.127964675e-16,-7.232541167e-22,4.128063145e-16,9.966242145e+03,2.751974041e-07,1.057025160e-20
960,9.600000000e-10,4.127976534e-16,-7.747058686e-22,4.128061831e-16,9.966270776e+03,2.751981777e-07,9.304336001e-21
970,9.700000000e-10,4.128001033e-16,-8.056470337e-22,4.128062660e-16,9.966329925e+03,2.751998006e-07,6.968352531e-21
980,9.800000000e-10,4.127983858e-16,-8.059637185e-22,4.128064893e-16,9.966288458e+03,2.751986555e-07,8.909462616e-21
990,9.900000000e-10,4.127970775e-16,-8.215843832e-22,4.128063731e-16,9.966256871e+03,2.751977783e-07,1.011718608e-20
1000,1.000000000e-09,4.127986198e-16,-8.385459203e-22,4.128062878e-16,9.966294107e+03,2.751988007e-07,8.506531866e-21
1010,1.010000000e-09,4.127992670e-16,-8.146513361e-22,4.128064636e-16,9.966309733e+03,2.751992398e-07,8.011288960e-21
1020,1.020000000e-09,4.127971327e-16,-8.018305234e-22,4.128064661e-16,9.966258203e+03,2.751978215e-07,1.013529159e-20
1030,1.030000000e-09,4.127969014e-16,-8.275165633e-22,4.128063840e-16,9.966252619e+03,2.751976587e-07,1.031015742e-20
1040,1.040000000e-09,4.127983834e-16,-8.609525414e-22,4.128063933e-16,9.966288401e+03,2.751986357e-07,8.870789300e-21
1050,1.050000000e-09,4.127982168e-16,-8.358162238e-22,4.128066407e-16,9.966284379e+03,2.751985332e-07,9.259643345e-21
1060,1.060000000e-09,4.127959442e-16,-8.004414950e-22,4.128065069e-16,9.966229510e+03,2.751970288e-07,1.136313196e-20
1070,1.070000000e-09,4.127969979e-16,-8.108677271e-22,4.128063142e-16,9.966254950e+03,2.751977284e-07,1.012710606e-20
1080,1.080000000e-09,4.127980156e-16,-8.516402003e-22,4.128063928e-16,9.966279521e+03,2.751984002e-07,9.228809020e-21
1090,1.090000000e-09,4.127960701e-16,-5.853888591e-22,4.128065523e-16,9.966232549e+03,2.751971365e-07,1.106766268e-20
1100,1.100000000e-09,4.127953017e-16,-6.925605556e-22,4.128063777e-16,9.966213998e+03,2.751966360e-07,1.176858379e-20
1110,1.110000000e-09,4.127966168e-16,-6.753540124e-22,4.128062111e-16,9.966245749e+03,2.751975183e-07,1.026963264e-20
1120,1.120000000e-09,4.127976226e-16,-6.697189283e-22,4.128063406e-16,9.966270032e+03,2.751981910e-07,9.387677664e-21
1130,1.130000000e-09,4.127950828e-16,-6.203242658e-22,4.128064276e-16,9.966208713e+03,2.751965141e-07,1.196511246e-20
1140,1.140000000e-09,4.127958603e-16,-6.225837341e-22,4.128060905e-16,9.966227484e+03,2.751970313e-07,1.085274037e-20
1150,1.150000000e-09,4.127976880e-16,-7.205192867e-22,4.128061804e-16,9.966271611e+03,2.751982177e-07,9.212850127e-21
1160,1.160000000e-09,4.127967072e-16,-7.087894072e-22,4.128063695e-16,9.966247931e+03,2.751975672e-07,1.037114056e-20
1170,1.170000000e-09,4.127953300e-16,-7.419589509e-22,4.128062148e-16,9.966214681e+03,2.751966391e-07,1.162682664e-20
1180,1.180000000e-09,4.127971535e-16,-8.377092703e-22,4.128061165e-16,9.966258707e+03,2.751978246e-07,9.800662530e-21
1190,1.190000000e-09,4.127986885e-16,-9.688701541e-22,4.128061648e-16,9.966295765e+03,2.751988068e-07,8.445160865e-21
1200,1.200000000e-09,4.127960563e-16,-8.863444871e-22,4.128062458e-16,9.966232216e+03,2.751970766e-07,1.107580275e-20
1210,1.210000000e-09,4.127965860e-16,-8.525776719e-22,4.128058595e-16,9.966245004e+03,2.751974407e-07,1.012613081e-20
1220,1.220000000e-09,4.127985084e-16,-8.902979756e-22,4.128059710e-16,9.966291418e+03,2.751987109e-07,8.352858631e-21
1230,1.230000000e-09,4.127979770e-16,-8.283059322e-22,4.128060320e-16,9.966278589e+03,2.751983774e-07,8.883243591e-21
1240,1.240000000e-09,4.127961492e-16,-7.285366125e-22,4.128059256e-16,9.966234460e+03,2.751971899e-07,1.050492663e-20
1250,1.250000000e-09,4.127979040e-16,-7.419496477e-22,4.128056615e-16,9.966276826e+03,2.751983554e-07,8.499383172e-21
1260,1.260000000e-09,4.127989116e-16,-7.183812922e-22,4.128059790e-16,9.966301152e+03,2.751990348e-07,7.785802977e-21
1270,1.270000000e-09,4.127976161e-16,-6.520620173e-22,4.128058220e-16,9.966269874e+03,2.751981928e-07,8.857945095e-21
1280,1.280000000e-09,4.127968476e-16,-6.531506830e-22,4.128058511e-16,9.966251322e+03,2.751976788e-07,9.656593908e-21
1290,1.290000000e-09,4.127987947e-16,-7.776354587e-22,4.128056600e-16,9.966298329e+03,2.751989377e-07,7.642981837e-21
1300,1.300000000e-09,4.127998926e-16,-7.005525012e-22,4.128059248e-16,9.966324836e+03,2.751996950e-07,6.732842958e-21
