step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
550,5.500000000e-10,2.068739829e-16,-5.101304528e-22,2.068734727e-16,9.989214389e+03,1.379158187e-07
560,5.600000000e-10,2.068739584e-16,-4.862638235e-22,2.068734721e-16,9.989213207e+03,1.379158103e-07
570,5.700000000e-10,2.068739198e-16,-4.437555637e-22,2.068734760e-16,9.989211343e+03,1.379157983e-07
580,5.800000000e-10,2.068739286e-16,-4.596258263e-22,2.068734690e-16,9.989211770e+03,1.379157993e-07
590,5.900000000e-10,2.068739220e-16,-4.505972412e-22,2.068734714e-16,9.989211450e+03,1.379157980e-07
600,6.000000000e-10,2.068739488e-16,-4.789523472e-22,2.068734698e-16,9.989212743e+03,1.379158068e-07
610,6.100000000e-10,2.068739715e-16,-5.025074336e-22,2.068734690e-16,9.989213842e+03,1.379158143e-07
620,6.200000000e-10,2.068739677e-16,-4.956527037e-22,2.068734721e-16,9.989213657e+03,1.379158136e-07
630,6.300000000e-10,2.068739598e-16,-4.903863063e-22,2.068734694e-16,9.989213275e+03,1.379158102e-07
640,6.400000000e-10,2.068739771e-16,-5.040080704e-22,2.068734731e-16,9.989214113e+03,1.379158176e-07
650,6.500000000e-10,2.068739678e-16,-4.966742358e-22,2.068734711e-16,9.989213660e+03,1.379158132e-07
660,6.600000000e-10,2.068739504e-16,-4.778166850e-22,2.068734726e-16,9.989212821e+03,1.379158078e-07
670,6.700000000e-10,2.068739343e-16,-4.624988252e-22,2.068734718e-16,9.989212047e+03,1.379158027e-07
680,6.800000000e-10,2.068738954e-16,-4.243687869e-22,2.068734711e-16,9.989210168e+03,1.379157888e-07
690,6.900000000e-10,2.068739019e-16,-4.306373900e-22,2.068734713e-16,9.989210482e+03,1.379157911e-07
700,7.000000000e-10,2.068738749e-16,-4.028861416e-22,2.068734720e-16,9.989209177e+03,1.379157823e-07
710,7.100000000e-10,2.068738512e-16,-3.799383981e-22,2.068734713e-16,9.989208032e+03,1.379157741e-07
720,7.200000000e-10,2.068738810e-16,-4.113190365e-22,2.068734697e-16,9.989209473e+03,1.379157836e-07
730,7.300000000e-10,2.068738899e-16,-4.202130979e-22,2.068734697e-16,9.989209901e+03,1.379157867e-07
740,7.400000000e-10,2.068738655e-16,-3.923580300e-22,2.068734732e-16,9.989208724e+03,1.379157797e-07
750,7.500000000e-10,2.068738490e-16,-3.781818115e-22,2.068734708e-16,9.989207925e+03,1.379157733e-07
760,7.600000000e-10,2.068738236e-16,-3.521209882e-22,2.068734715e-16,9.989206699e+03,1.379157648e-07
770,7.700000000e-10,2.068738166e-16,-3.450870855e-22,2.068734715e-16,9.989206362e+03,1.379157627e-07
780,7.800000000e-10,2.068738060e-16,-3.358375945e-22,2.068734702e-16,9.989205850e+03,1.379157588e-07
